project,date_trunc,usd_volume
DODO,2021-02-01T00:00:00+00:00,1015976593.59249543760342
1inch LP,2021-03-01T00:00:00+00:00,50016507.6020205175
Balancer,2021-01-01T00:00:00+00:00,1557347030.74016482618472796848
Synthetix,2021-02-01T00:00:00+00:00,725681907.043805312671233644015369020000000000
Curve,2021-01-01T00:00:00+00:00,6377284480.116021067563818400996312
Uniswap,2021-06-01T00:00:00+00:00,43801638892.512598285461076276996010
Oasis,2020-10-01T00:00:00+00:00,892849.8805929210403892
0x Native,2020-11-01T00:00:00+00:00,1154712106.635816145671190242546564
Gnosis Protocol,2020-09-01T00:00:00+00:00,15065975.186057335489311562279
DODO,2021-03-01T00:00:00+00:00,1273046658.95106567815492708095
Bancor Network,2021-01-01T00:00:00+00:00,644985892.721712358042088430637
Bancor Network,2020-09-01T00:00:00+00:00,46350334.8946576062100312
Bancor Network,2021-05-01T00:00:00+00:00,5485720951.48668541256628150608
Curve,2020-11-01T00:00:00+00:00,2432883980.570751957259094276010233
Synthetix,2021-03-01T00:00:00+00:00,452842831.386109137671014687041074207173050000
Bancor Network,2021-06-01T00:00:00+00:00,1728760721.077675926252346952447465
Bancor Network,2020-11-01T00:00:00+00:00,94062463.947508289607595174
1inch LP,2021-06-01T00:00:00+00:00,359376.5017658056
Balancer,2021-05-01T00:00:00+00:00,4330339734.648442141901957480288709
Kyber,2021-05-01T00:00:00+00:00,388949159.4622085036887113071557352893
Synthetix,2021-01-01T00:00:00+00:00,1347360681.610898872220449096773870000000000000
0x Native,2020-10-01T00:00:00+00:00,1278304264.2657250908234648016
dYdX,2021-03-01T00:00:00+00:00,550783357.5438830810784136670354290
IDEX,2020-09-01T00:00:00+00:00,39056616.8304502145465
Balancer,2021-07-01T00:00:00+00:00,813952347.81488609842654250186
Uniswap,2021-03-01T00:00:00+00:00,33357987498.960987530506261198083559
Sushiswap,2020-09-01T00:00:00+00:00,2269792386.0560659842741098442
Loopring,2020-12-01T00:00:00+00:00,15899250.79068780496
LINKSWAP,2021-05-01T00:00:00+00:00,5365801.468505007171486434
Uniswap,2021-02-01T00:00:00+00:00,32122462775.553435036053575912895250
Futureswap,2021-05-01T00:00:00+00:00,
1inch LP,2021-01-01T00:00:00+00:00,245199127.5606009614
Balancer,2021-02-01T00:00:00+00:00,2219288200.28236452001130418057
Balancer,2021-04-01T00:00:00+00:00,2631690359.9318662110010341102561
Gnosis Protocol,2021-04-01T00:00:00+00:00,2059522.70780717782
Curve,2021-03-01T00:00:00+00:00,5454188721.753194571208059
Kyber,2020-11-01T00:00:00+00:00,340340690.70387826890179998733750447434
Balancer,2021-06-01T00:00:00+00:00,1344581404.44779777590029474062
Oasis,2021-01-01T00:00:00+00:00,8010860.0633411103470313
Mooniswap,2020-11-01T00:00:00+00:00,73418340.4967141080819332739769
Kyber,2021-01-01T00:00:00+00:00,920183622.98339506785079740274
Kyber,2021-07-01T00:00:00+00:00,51973078.6937787663460359377
Curve,2021-07-01T00:00:00+00:00,2977867001.12179883474193386432
Mooniswap,2020-09-01T00:00:00+00:00,111549658.5779832856115710998626
Bancor Network,2020-12-01T00:00:00+00:00,241453223.391932396018726133
Bancor Network,2021-04-01T00:00:00+00:00,3266508817.12259780229667483369
Kyber,2020-09-01T00:00:00+00:00,415446321.48115882958132614624
dYdX,2021-02-01T00:00:00+00:00,1309843657.70706025607637490667
LINKSWAP,2021-07-01T00:00:00+00:00,206412.09528126476546678
DDEX,2020-10-01T00:00:00+00:00,1247264.069224032444
Synthetix,2020-09-01T00:00:00+00:00,222161699.06291325954445660302680300000000
Kyber,2020-12-01T00:00:00+00:00,442783748.9669080303201558378
IDEX,2020-10-01T00:00:00+00:00,11122209.6415498380447
Synthetix,2020-11-01T00:00:00+00:00,235866212.206952654584786682954172862339239880
DODO,2021-04-01T00:00:00+00:00,1177488384.421696465485365556
Synthetix,2021-04-01T00:00:00+00:00,344956206.884494615149667343020000
1inch LP,2021-07-01T00:00:00+00:00,132491.6642722086
Uniswap,2021-01-01T00:00:00+00:00,26292635771.510037365360242619176048
Sushiswap,2021-04-01T00:00:00+00:00,11771584685.527691236452891026190981
Uniswap,2020-11-01T00:00:00+00:00,9918239552.985309145982444631841995
DDEX,2021-06-01T00:00:00+00:00,6683.78158803288
Oasis,2020-11-01T00:00:00+00:00,6781746.58671603275963409
airswap,2021-04-01T00:00:00+00:00,166968966.668076926891962130708966
Kyber,2021-06-01T00:00:00+00:00,130373203.41250095180114434256925272039
DDEX,2020-11-01T00:00:00+00:00,3508908.465854562763
Loopring,2020-11-01T00:00:00+00:00,13367991.654522465951
Curve,2020-12-01T00:00:00+00:00,2528329533.71724604225828250
LINKSWAP,2021-06-01T00:00:00+00:00,780204.791967540640777499
LINKSWAP,2020-12-01T00:00:00+00:00,25724730.62257193481328470116
0x Native,2021-07-01T00:00:00+00:00,1786350043.78972429113497218918
DODO,2021-07-01T00:00:00+00:00,1288543744.83587371153853709578
Balancer,2020-10-01T00:00:00+00:00,355377248.682473810647163247053229
airswap,2021-01-01T00:00:00+00:00,17609590.8200500184191
Gnosis Protocol,2021-07-01T00:00:00+00:00,383011.123443702859482
Mooniswap,2021-01-01T00:00:00+00:00,11858026.65114521402665466851
1inch Limit Order Protocol,2021-07-01T00:00:00+00:00,51065250.74640056417459710880
dYdX,2020-09-01T00:00:00+00:00,181513438.4910622653091392158002400
Sushiswap,2021-03-01T00:00:00+00:00,9584364436.169500295931445574759671
Gnosis Protocol,2021-06-01T00:00:00+00:00,22261.2264860908566714
0x Native,2021-06-01T00:00:00+00:00,4377912995.808694943201938339310085
Futureswap,2021-01-01T00:00:00+00:00,
Kyber,2021-02-01T00:00:00+00:00,554222805.5051121717110430577397971
LINKSWAP,2021-02-01T00:00:00+00:00,83308122.104079869126156
Sushiswap,2021-05-01T00:00:00+00:00,25207773091.379046367954389215072695
Gnosis Protocol,2020-11-01T00:00:00+00:00,22176340.982280744367454082520
dYdX,2021-06-01T00:00:00+00:00,265381956.6558027135648447
DDEX,2021-01-01T00:00:00+00:00,1757372.69184635425
Mooniswap,2021-06-01T00:00:00+00:00,4506091.094243819821517
dYdX,2020-12-01T00:00:00+00:00,398606823.04466966657408878757
Sushiswap,2021-06-01T00:00:00+00:00,8461531048.359578004883110880793995
airswap,2020-11-01T00:00:00+00:00,1016933.69789310826955
