_traders,_market,_date
2,BTC-USDC,2021-07-14
5,AAVE-USDC,2021-07-14
9,GRT-USDC,2021-07-14
6,,2021-07-14
4,COMP-USDC,2021-07-14
4,DOT-USDC,2021-07-14
4,LINK-USDC,2021-07-14
1,,2021-07-14
5,ETH-USDC,2021-07-14
6,REN-USDC,2021-07-14
4,CRV-USDC,2021-07-14
3,SNX-USDC,2021-07-14
4,MKR-USDC,2021-07-14
3,YFI-USDC,2021-07-14
4,UNI-USDC,2021-07-14
6,SUSHI-USDC,2021-07-14
5,PERP-USDC,2021-07-14
20,BTC-USDC,2021-07-13
26,AAVE-USDC,2021-07-13
21,GRT-USDC,2021-07-13
30,,2021-07-13
24,COMP-USDC,2021-07-13
16,DOT-USDC,2021-07-13
23,CREAM-USDC,2021-07-13
22,LINK-USDC,2021-07-13
17,,2021-07-13
54,ETH-USDC,2021-07-13
35,REN-USDC,2021-07-13
23,CRV-USDC,2021-07-13
36,SNX-USDC,2021-07-13
27,MKR-USDC,2021-07-13
19,YFI-USDC,2021-07-13
23,UNI-USDC,2021-07-13
30,SUSHI-USDC,2021-07-13
45,PERP-USDC,2021-07-13
19,BTC-USDC,2021-07-12
30,AAVE-USDC,2021-07-12
26,GRT-USDC,2021-07-12
40,,2021-07-12
27,COMP-USDC,2021-07-12
16,DOT-USDC,2021-07-12
14,CREAM-USDC,2021-07-12
21,LINK-USDC,2021-07-12
19,,2021-07-12
44,ETH-USDC,2021-07-12
33,REN-USDC,2021-07-12
24,CRV-USDC,2021-07-12
39,SNX-USDC,2021-07-12
20,MKR-USDC,2021-07-12
17,YFI-USDC,2021-07-12
25,UNI-USDC,2021-07-12
31,SUSHI-USDC,2021-07-12
36,PERP-USDC,2021-07-12
21,BTC-USDC,2021-07-11
20,AAVE-USDC,2021-07-11
27,GRT-USDC,2021-07-11
28,,2021-07-11
27,COMP-USDC,2021-07-11
15,DOT-USDC,2021-07-11
18,CREAM-USDC,2021-07-11
13,LINK-USDC,2021-07-11
16,,2021-07-11
22,ETH-USDC,2021-07-11
21,REN-USDC,2021-07-11
25,CRV-USDC,2021-07-11
36,SNX-USDC,2021-07-11
16,MKR-USDC,2021-07-11
16,YFI-USDC,2021-07-11
18,UNI-USDC,2021-07-11
22,SUSHI-USDC,2021-07-11
41,PERP-USDC,2021-07-11
21,BTC-USDC,2021-07-10
23,AAVE-USDC,2021-07-10
27,GRT-USDC,2021-07-10
37,,2021-07-10
27,COMP-USDC,2021-07-10
16,DOT-USDC,2021-07-10
12,CREAM-USDC,2021-07-10
16,LINK-USDC,2021-07-10
15,,2021-07-10
30,ETH-USDC,2021-07-10
23,REN-USDC,2021-07-10
33,CRV-USDC,2021-07-10
29,SNX-USDC,2021-07-10
20,MKR-USDC,2021-07-10
16,YFI-USDC,2021-07-10
16,UNI-USDC,2021-07-10
18,SUSHI-USDC,2021-07-10
36,PERP-USDC,2021-07-10
21,BTC-USDC,2021-07-09
37,AAVE-USDC,2021-07-09
30,GRT-USDC,2021-07-09
34,,2021-07-09
33,COMP-USDC,2021-07-09
20,DOT-USDC,2021-07-09
14,CREAM-USDC,2021-07-09
25,LINK-USDC,2021-07-09
20,,2021-07-09
44,ETH-USDC,2021-07-09
26,REN-USDC,2021-07-09
30,CRV-USDC,2021-07-09
37,SNX-USDC,2021-07-09
24,MKR-USDC,2021-07-09
21,YFI-USDC,2021-07-09
21,UNI-USDC,2021-07-09
36,SUSHI-USDC,2021-07-09
38,PERP-USDC,2021-07-09
20,BTC-USDC,2021-07-08
41,AAVE-USDC,2021-07-08
33,GRT-USDC,2021-07-08
45,,2021-07-08
33,COMP-USDC,2021-07-08
22,DOT-USDC,2021-07-08
16,CREAM-USDC,2021-07-08
24,LINK-USDC,2021-07-08
22,,2021-07-08
46,ETH-USDC,2021-07-08
33,REN-USDC,2021-07-08
30,CRV-USDC,2021-07-08
32,SNX-USDC,2021-07-08
27,MKR-USDC,2021-07-08
22,YFI-USDC,2021-07-08
20,UNI-USDC,2021-07-08
35,SUSHI-USDC,2021-07-08
43,PERP-USDC,2021-07-08
12,BTC-USDC,2021-07-07
31,AAVE-USDC,2021-07-07
23,GRT-USDC,2021-07-07
38,,2021-07-07
27,COMP-USDC,2021-07-07
32,DOT-USDC,2021-07-07
24,CREAM-USDC,2021-07-07
20,LINK-USDC,2021-07-07
22,,2021-07-07
49,ETH-USDC,2021-07-07
26,REN-USDC,2021-07-07
15,CRV-USDC,2021-07-07
32,SNX-USDC,2021-07-07
20,MKR-USDC,2021-07-07
23,YFI-USDC,2021-07-07
24,UNI-USDC,2021-07-07
36,SUSHI-USDC,2021-07-07
40,PERP-USDC,2021-07-07
20,BTC-USDC,2021-07-06
44,AAVE-USDC,2021-07-06
28,GRT-USDC,2021-07-06
48,,2021-07-06
35,COMP-USDC,2021-07-06
23,DOT-USDC,2021-07-06
22,CREAM-USDC,2021-07-06
21,LINK-USDC,2021-07-06
29,,2021-07-06
38,ETH-USDC,2021-07-06
32,REN-USDC,2021-07-06
26,CRV-USDC,2021-07-06
40,SNX-USDC,2021-07-06
27,MKR-USDC,2021-07-06
34,YFI-USDC,2021-07-06
35,UNI-USDC,2021-07-06
45,SUSHI-USDC,2021-07-06
50,PERP-USDC,2021-07-06
26,BTC-USDC,2021-07-05
36,AAVE-USDC,2021-07-05
37,GRT-USDC,2021-07-05
35,,2021-07-05
36,COMP-USDC,2021-07-05
25,DOT-USDC,2021-07-05
29,CREAM-USDC,2021-07-05
21,LINK-USDC,2021-07-05
19,,2021-07-05
50,ETH-USDC,2021-07-05
31,REN-USDC,2021-07-05
27,CRV-USDC,2021-07-05
45,SNX-USDC,2021-07-05
23,MKR-USDC,2021-07-05
20,YFI-USDC,2021-07-05
24,UNI-USDC,2021-07-05
34,SUSHI-USDC,2021-07-05
42,PERP-USDC,2021-07-05
18,BTC-USDC,2021-07-04
36,AAVE-USDC,2021-07-04
29,GRT-USDC,2021-07-04
32,,2021-07-04
37,COMP-USDC,2021-07-04
15,DOT-USDC,2021-07-04
24,CREAM-USDC,2021-07-04
15,LINK-USDC,2021-07-04
17,,2021-07-04
59,ETH-USDC,2021-07-04
33,REN-USDC,2021-07-04
23,CRV-USDC,2021-07-04
34,SNX-USDC,2021-07-04
20,MKR-USDC,2021-07-04
23,YFI-USDC,2021-07-04
