day,project,locked_usd_value
2021-06-05T00:00:00+00:00,MakerDAO,7420682826.855101
2021-04-10T00:00:00+00:00,MakerDAO,7751590099.630147
2021-05-11T00:00:00+00:00,Aave,14128978894.666157
2021-04-29T00:00:00+00:00,MakerDAO,9333562084.846989
2021-07-26T00:00:00+00:00,Compound,13943737360.025517
2021-02-25T00:00:00+00:00,MakerDAO,6044745152.020239
2021-06-22T00:00:00+00:00,Aave,12245816102.79582
2021-07-02T00:00:00+00:00,Compound,8692180906.296547
2021-04-01T00:00:00+00:00,Compound,11578489960.74759
2021-08-07T00:00:00+00:00,MakerDAO,6881999017.223818
2021-02-27T00:00:00+00:00,MakerDAO,5687509186.332324
2021-04-06T00:00:00+00:00,MakerDAO,7703572235.801394
2021-02-26T00:00:00+00:00,MakerDAO,5685493046.809201
2021-03-02T00:00:00+00:00,MakerDAO,6020326642.303095
2021-05-22T00:00:00+00:00,MakerDAO,7200051849.674229
2021-05-19T00:00:00+00:00,MakerDAO,8721711725.312141
2021-08-13T00:00:00+00:00,MakerDAO,7301924798.461372
2021-04-07T00:00:00+00:00,MakerDAO,7344057625.0281105
2021-05-20T00:00:00+00:00,Aave,11935290977.64871
2021-06-08T00:00:00+00:00,Compound,11530776903.0001
2021-05-12T00:00:00+00:00,Aave,14632329107.419018
2021-04-03T00:00:00+00:00,Compound,13475970625.06312
2021-03-18T00:00:00+00:00,Aave,5446698932.509552
2021-05-06T00:00:00+00:00,MakerDAO,11495466681.620779
2021-06-18T00:00:00+00:00,Compound,10768248717.949902
2021-04-29T00:00:00+00:00,Compound,14138617279.936592
2021-07-22T00:00:00+00:00,Compound,12756572263.82631
2021-08-01T00:00:00+00:00,Aave,16799364830.457561
2021-04-28T00:00:00+00:00,MakerDAO,9030310154.624836
2021-06-26T00:00:00+00:00,Aave,11910617320.137312
2021-06-11T00:00:00+00:00,Compound,10955914623.763077
2021-04-16T00:00:00+00:00,Aave,6909718936.875441
2021-03-03T00:00:00+00:00,Aave,5022183664.829356
2021-03-31T00:00:00+00:00,Aave,6118312491.388023
2021-06-24T00:00:00+00:00,Compound,9744872749.34769
2021-03-15T00:00:00+00:00,MakerDAO,6752101597.418871
2021-05-09T00:00:00+00:00,MakerDAO,12357938314.057558
2021-07-27T00:00:00+00:00,Aave,15579536000.315454
2021-06-01T00:00:00+00:00,MakerDAO,7320260760.054167
2021-02-25T00:00:00+00:00,Aave,4671762126.022
2021-03-30T00:00:00+00:00,Compound,11239520382.673746
2021-07-05T00:00:00+00:00,Compound,9915458283.430803
2021-08-14T00:00:00+00:00,Compound,16015148524.105377
2021-05-22T00:00:00+00:00,Compound,11112120971.802927
2021-05-17T00:00:00+00:00,MakerDAO,10976098725.94183
2021-06-19T00:00:00+00:00,MakerDAO,5930635961.314125
2021-03-30T00:00:00+00:00,MakerDAO,6710237765.724499
2021-06-08T00:00:00+00:00,Aave,12978741768.184912
2021-05-18T00:00:00+00:00,MakerDAO,11116180014.504728
2021-03-20T00:00:00+00:00,MakerDAO,7040685868.186113
2021-06-15T00:00:00+00:00,Compound,11543195567.113916
2021-06-27T00:00:00+00:00,Aave,11996307869.792048
2021-05-08T00:00:00+00:00,Compound,16556839148.408981
2021-04-12T00:00:00+00:00,Aave,6213011740.867014
2021-07-14T00:00:00+00:00,Compound,11788024860.893345
2021-06-02T00:00:00+00:00,Aave,13605456059.226797
2021-02-23T00:00:00+00:00,MakerDAO,5893046914.613773
