date,project,users
2020-01-29T00:00:00+00:00,0x API,4
2020-01-31T00:00:00+00:00,0x API,6
2020-02-06T00:00:00+00:00,0x API,7
2020-02-07T00:00:00+00:00,0x API,12
2020-02-08T00:00:00+00:00,0x API,14
2020-02-09T00:00:00+00:00,0x API,15
2020-02-12T00:00:00+00:00,0x API,17
2020-02-13T00:00:00+00:00,0x API,22
2020-02-14T00:00:00+00:00,0x API,32
2020-02-15T00:00:00+00:00,0x API,37
2020-02-16T00:00:00+00:00,0x API,43
2020-02-17T00:00:00+00:00,0x API,47
2020-02-18T00:00:00+00:00,0x API,55
2020-02-19T00:00:00+00:00,0x API,65
2020-02-20T00:00:00+00:00,0x API,72
2020-02-21T00:00:00+00:00,0x API,79
2020-02-22T00:00:00+00:00,0x API,85
2020-02-23T00:00:00+00:00,0x API,88
2020-02-24T00:00:00+00:00,0x API,92
2020-02-25T00:00:00+00:00,0x API,94
2020-02-26T00:00:00+00:00,0x API,103
2020-02-27T00:00:00+00:00,0x API,113
2020-02-28T00:00:00+00:00,0x API,118
2020-02-29T00:00:00+00:00,0x API,120
2020-03-01T00:00:00+00:00,0x API,121
2020-03-02T00:00:00+00:00,0x API,123
2020-03-03T00:00:00+00:00,0x API,127
2020-03-04T00:00:00+00:00,0x API,130
2020-03-05T00:00:00+00:00,0x API,133
2020-03-06T00:00:00+00:00,0x API,141
2020-03-07T00:00:00+00:00,0x API,152
2020-03-08T00:00:00+00:00,0x API,163
2020-03-09T00:00:00+00:00,0x API,176
2020-03-10T00:00:00+00:00,0x API,183
2020-03-11T00:00:00+00:00,0x API,193
2020-03-12T00:00:00+00:00,0x API,200
2020-03-13T00:00:00+00:00,0x API,217
2020-03-14T00:00:00+00:00,0x API,228
2020-03-15T00:00:00+00:00,0x API,236
2020-03-16T00:00:00+00:00,0x API,249
2020-03-17T00:00:00+00:00,0x API,257
2020-03-18T00:00:00+00:00,0x API,270
2020-03-19T00:00:00+00:00,0x API,290
2020-03-20T00:00:00+00:00,0x API,304
2020-03-21T00:00:00+00:00,0x API,308
2020-03-22T00:00:00+00:00,0x API,312
2020-03-23T00:00:00+00:00,0x API,316
2020-03-24T00:00:00+00:00,0x API,324
2020-03-25T00:00:00+00:00,0x API,326
2020-03-26T00:00:00+00:00,0x API,331
2020-03-27T00:00:00+00:00,0x API,333
2020-03-28T00:00:00+00:00,0x API,335
2020-03-29T00:00:00+00:00,0x API,341
2020-03-30T00:00:00+00:00,0x API,356
2020-03-31T00:00:00+00:00,0x API,369
2020-04-01T00:00:00+00:00,0x API,379
2020-04-02T00:00:00+00:00,0x API,394
2020-04-03T00:00:00+00:00,0x API,399
2020-04-04T00:00:00+00:00,0x API,405
2020-04-05T00:00:00+00:00,0x API,411
2020-04-06T00:00:00+00:00,0x API,417
2020-04-07T00:00:00+00:00,0x API,424
2020-04-08T00:00:00+00:00,0x API,427
2020-04-09T00:00:00+00:00,0x API,431
2020-04-10T00:00:00+00:00,0x API,435
2020-04-11T00:00:00+00:00,0x API,438
2020-04-12T00:00:00+00:00,0x API,443
2020-04-14T00:00:00+00:00,0x API,448
2020-04-15T00:00:00+00:00,0x API,453
2020-04-16T00:00:00+00:00,0x API,454
2020-04-17T00:00:00+00:00,0x API,456
2020-04-18T00:00:00+00:00,0x API,461
2020-04-19T00:00:00+00:00,0x API,465
2020-04-20T00:00:00+00:00,0x API,482
2020-04-21T00:00:00+00:00,0x API,486
2020-04-22T00:00:00+00:00,0x API,492
2020-04-23T00:00:00+00:00,0x API,501
2020-04-24T00:00:00+00:00,0x API,514
2020-04-25T00:00:00+00:00,0x API,518
2020-04-26T00:00:00+00:00,0x API,526
2020-04-27T00:00:00+00:00,0x API,529
2020-04-28T00:00:00+00:00,0x API,536
2020-04-29T00:00:00+00:00,0x API,540
2020-04-30T00:00:00+00:00,0x API,544
2020-05-01T00:00:00+00:00,0x API,553
2020-05-02T00:00:00+00:00,0x API,556
2020-05-03T00:00:00+00:00,0x API,563
2020-05-04T00:00:00+00:00,0x API,566
2020-05-05T00:00:00+00:00,0x API,571
2020-05-06T00:00:00+00:00,0x API,579
2020-05-07T00:00:00+00:00,0x API,589
2020-05-08T00:00:00+00:00,0x API,600
2020-05-09T00:00:00+00:00,0x API,608
2020-05-10T00:00:00+00:00,0x API,615
2020-05-11T00:00:00+00:00,0x API,630
2020-05-12T00:00:00+00:00,0x API,638
2020-05-13T00:00:00+00:00,0x API,641
2020-05-14T00:00:00+00:00,0x API,651
2020-05-15T00:00:00+00:00,0x API,661
2020-05-16T00:00:00+00:00,0x API,671
2020-05-17T00:00:00+00:00,0x API,677
2020-05-18T00:00:00+00:00,0x API,687
2020-05-19T00:00:00+00:00,0x API,699
2020-05-20T00:00:00+00:00,0x API,709
2020-05-21T00:00:00+00:00,0x API,714
2020-05-22T00:00:00+00:00,0x API,720
2020-05-23T00:00:00+00:00,0x API,724
2020-05-24T00:00:00+00:00,0x API,731
2020-05-25T00:00:00+00:00,0x API,739
2020-05-26T00:00:00+00:00,0x API,742
2020-05-27T00:00:00+00:00,0x API,748
2020-05-28T00:00:00+00:00,0x API,758
2020-05-29T00:00:00+00:00,0x API,762
2020-05-30T00:00:00+00:00,0x API,766
2020-05-31T00:00:00+00:00,0x API,767
2020-06-01T00:00:00+00:00,0x API,771
2020-06-02T00:00:00+00:00,0x API,780
2020-06-03T00:00:00+00:00,0x API,783
2020-06-04T00:00:00+00:00,0x API,788
2020-06-05T00:00:00+00:00,0x API,794
2020-06-06T00:00:00+00:00,0x API,800
2020-06-07T00:00:00+00:00,0x API,802
2020-06-08T00:00:00+00:00,0x API,805
2020-06-09T00:00:00+00:00,0x API,807
2020-06-10T00:00:00+00:00,0x API,811
2020-06-11T00:00:00+00:00,0x API,816
2020-06-12T00:00:00+00:00,0x API,823
2020-06-13T00:00:00+00:00,0x API,829
2020-06-14T00:00:00+00:00,0x API,833
2020-06-15T00:00:00+00:00,0x API,837
2020-06-16T00:00:00+00:00,0x API,843
2020-06-17T00:00:00+00:00,0x API,845
2020-06-18T00:00:00+00:00,0x API,848
2020-06-19T00:00:00+00:00,0x API,864
2020-06-20T00:00:00+00:00,0x API,873
2020-06-21T00:00:00+00:00,0x API,879
2020-06-22T00:00:00+00:00,0x API,893
2020-06-23T00:00:00+00:00,0x API,907
2020-06-24T00:00:00+00:00,0x API,921
2020-06-25T00:00:00+00:00,0x API,939
2020-06-26T00:00:00+00:00,0x API,955
2020-06-27T00:00:00+00:00,0x API,974
2020-06-28T00:00:00+00:00,0x API,982
2020-06-29T00:00:00+00:00,0x API,997
2020-06-30T00:00:00+00:00,0x API,1028
2020-07-01T00:00:00+00:00,0x API,1075
2020-07-02T00:00:00+00:00,0x API,1114
2020-07-03T00:00:00+00:00,0x API,1166
2020-07-04T00:00:00+00:00,0x API,1195
2020-07-05T00:00:00+00:00,0x API,1217
2020-07-06T00:00:00+00:00,0x API,1240
2020-07-07T00:00:00+00:00,0x API,1271
2020-07-08T00:00:00+00:00,0x API,1303
2020-07-09T00:00:00+00:00,0x API,1327
2020-07-10T00:00:00+00:00,0x API,1345
2020-07-11T00:00:00+00:00,0x API,1368
2020-07-12T00:00:00+00:00,0x API,1390
2020-07-13T00:00:00+00:00,0x API,1416
2020-07-14T00:00:00+00:00,0x API,1448
2020-07-15T00:00:00+00:00,0x API,1473
2020-07-16T00:00:00+00:00,0x API,1485
2020-07-17T00:00:00+00:00,0x API,1499
2020-07-18T00:00:00+00:00,0x API,1516
2020-07-19T00:00:00+00:00,0x API,1542
